-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |      Rel. |    Aki     | Acc. |      Ei           Ek      |             Lower level             |              Upper level               |  gi   gk  |Type|               TP  |       Line  |
     Wavelength     |      Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |-------------------------------------|----------------------------------------|           |    |              Ref. |       Ref.  |
      Air (nm)      |           |            |      |                           | Conf.                 | Term  | J   | Conf.                 | Term     | J   |           |    |                   |             |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel      |    Aki     | Acc  |              Ei - Ek      | L Conf                |L Term | L J | U Conf                |U Term    | U J |   gi - gk |Type|             TP    |    Line     |
         304.0759   |         1 |            |      |  26623.735  -   59500.628 | 3d7.(2D2).4s          | a 3D  | 2   | 3d6.(3P2).4s.4p.(1P*) | 3S*      | 1   |   5 - 3   |    |                   |  L11631c80  |
         304.0956   |      5bl* |            |      |  20874.482  -   53749.405 | 3d6.4s2               | b 3F2 | 3   | 3d6.(3G).4s.4p.(3P*)  | x 3F*    | 2   |   7 - 5   |    |                   |  L11631c80  |
         304.0956   |      5bl* |            |      |  24180.862  -   57055.616 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 5G       | 3   |   7 - 7   |    |                   |  L11631c80  |
         304.1029   |       0d? |            |      |  21038.987  -   53913.020 | 3d6.4s2               | b 3F2 | 2   | 3d6.(3D).4s.4p.(3P*)  | 5D*      | 2   |   5 - 5   |    |                   |  L11631c80  |
         304.16370  |     11000 | 4.24e+06   | B+   |  12560.934  -   45428.402 | 3d7.(4F).4s           | a 3F  | 3   | 3d6.(3H).4s.4p.(3P*)  | y 3G*    | 4   |   7 - 9   |    |             T5720 |     L11631  |
         304.17386  |     13800 | 5.20e+06   | D+   |   7728.060  -   40594.432 | 3d7.(4F).4s           | a 5F  | 3   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 4   |   7 - 9   |    |             T5720 |     L11631  |
         304.1890   |         0 |            |      |  26224.969  -   59089.628 | 3d7.(2D2).4s          | a 3D  | 3   | 3d6.4s.(4D).5p        | 3F*      | 3   |   7 - 7   |    |                   |  L11631c80  |
         304.20194  |      4790 | 4.70e+06   | D+   |   8154.714  -   41018.051 | 3d7.(4F).4s           | a 5F  | 1   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 2   |   3 - 5   |    |             T5720 |     L11631  |
         304.26646  |      9500 | 5.20e+06   | C+   |   7985.785  -   40842.154 | 3d7.(4F).4s           | a 5F  | 2   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 3   |   5 - 7   |    |             T5720 |     L11631  |
         304.2840   |        3* |            |      |  24506.917  -   57361.366 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 2   | 3d6.4s.(6D).5d        | 7G       | 3   |   5 - 7   |    |                   |  L11631c80  |
