-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |   Rel. |    Aki     | Acc. |      Ei           Ek       |              Lower level              |              Upper level               |  gi   gk  |Type|      TP  |  Line  |
   Wavelength   |   Int. |   (s^-1)   |      |    (cm-1)       (cm-1)     |---------------------------------------|----------------------------------------|           |    |     Ref. |  Ref.  |
    Air (nm)    |        |            |      |                            | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |    |          |        |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel   |    Aki     | Acc  |              Ei - Ek       | L Conf                |L Term   | L J | U Conf                |U Term    | U J |   gi - gk |Type|  TP      |   Line |
       316.1154 |    250 | 4.36e+06   | C+   |  268762.96  -   300387.82  | 2s2.2p5.3s            | 1P*     | 1   | 2s2.2p5.3p            | 3P       | 0   |   3 - 1   |    |    T7663 |  L914  |
       316.253  |     90 | 7.1e+05    | E    |  299885.37  -   331496.51  | 2s2.2p5.3p            | 1P      | 1   | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]*  | 2   |   3 - 5   |    | T7663c78 |  L914  |
       316.3246 |    350 | 6.1e+06    | E    |  300103.92  -   331707.90  | 2s2.2p5.3p            | 3P      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]*  | 3   |   5 - 7   |    | T7663c78 |  L914  |
       316.3736 |   2000 | 1.05e+08   | B+   |  299189.96  -   330789.05  | 2s2.2p5.3p            | 1D      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]*  | 2   |   5 - 5   |    |    T7663 |  L914  |
       316.525  |     70 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       316.636  |     30 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       316.677  |     30 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       316.7484 |    200 | 9.3e+06    | C+   |  300103.92  -   331665.59  | 2s2.2p5.3p            | 3P      | 2   | 2s2.2p5.(2P*<3/2>).3d | 2[5/2]*  | 2   |   5 - 5   |    |    T6036 |  L914  |
       316.958  |    300 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       317.162  |     25 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       317.270  |     25 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       317.342  |     15 |            |      |                            |                       |         |     |                       |          |     |           |    |          |  L914  |
       317.5086 |    700 | 6.23e+07   | C    |  300387.82  -   331873.93  | 2s2.2p5.3p            | 3P      | 0   | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]*  | 1   |   1 - 3   |    | T7663c79 |  L914  |
