-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |             Rel. |    Aki     | Acc. |        Ei           Ek        |             Lower level              |              Upper level              |  gi   gk  |Type|            TP  |           Line  |
     Wavelength     |             Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |--------------------------------------|---------------------------------------|           |    |           Ref. |           Ref.  |
      Air (nm)      |                  |            |      |                               | Conf.                 | Term  | J    | Conf.                 | Term   | J    |           |    |                |                 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel             |    Aki     | Acc  |              Ei - Ek          | L Conf                |L Term | L J  | U Conf                |U Term  | U J  |   gi - gk |Type|    	  TP    |        Line     |
         303.9794   |            220d? |            |      |   60441.042   -    93328.553  | 3d5.4s2               | c 4D  | 3/2  | 3d6.(3F1).4p          | u 4F*  | 3/2  |   4 - 4   |    |                |     L18349c143  |
         304.0223   |            120d? |            |      |   71432.690   -   104315.373  | 3d6.(1I).4p           | z 2K* | 15/2 | 3d6.(3H).4d           | 2K     | 13/2 |  16 - 14  |    |                |     L18349c143  |
         304.0281   |             110? |            |      |   72352.046   -   105234.246  | 3d6.(3D).4p           | w 4F* | 7/2  | 3d6.(3P2).4d          | 4P     | 5/2  |   8 - 6   |    |                |     L18349c143  |
         304.0734   |            100d? | 3.1e+06    | D+   |   70314.624   -   103191.968  | 3d6.(3G).4p           | x 2G* | 9/2  | 3d6.(3P2).4d          | 2F     | 7/2  |  10 - 8   |    |       T6892c83 |     L18349c142  |
         304.0848   |            700d? |            |      |   33501.2957  -    66377.315  | 3d6.(1G2).4s          | c 2G  | 7/2  | 3d6.(3G).4p           | x 4F*  | 7/2  |   8 - 8   |    |                |     L18349c143  |
         304.0914   |  110d,bl(Fe II)* | 9.e+06     | D+   |   73143.346   -   106018.682  | 3d6.(1G2).4p          | w 2G* | 7/2  | 3d6.(3H).4d           | 2H     | 9/2  |   8 - 10  |    |       T6892c83 |     L18349c143  |
         304.0914   |  110d,bl(Fe II)* | 3.5e+06    | D+   |   71964.750   -   104839.990  | 3d6.(3D).4p           | w 4P* | 5/2  | 3d6.(3F2).4d          | 4P     | 3/2  |   6 - 4   |    |       T6892c83 |     L18349c143  |
         304.1184   |               90 |            |      |   76577.436   -   109449.894  | 3d6.(1S2).4p          | x 2P* | 1/2  | 3d5.4s.(7S).4d        | 8D     | 3/2  |   2 - 4   |    |                |     L18349c143  |
         304.1484   |             80d? | 4.2e+06    | D+   |   77742.736   -   110611.830  | 3d6.(1D2).4p          | v 2F* | 5/2  | 3d6.(3G).4d           | 2F     | 5/2  |   6 - 6   |    |       T6892c83 |     L18349c143  |
         304.1537   |            110d? | 4.2e+06    | D+   |   72352.046   -   105220.610  | 3d6.(3D).4p           | w 4F* | 7/2  | 3d6.(3H).4d           | 4F     | 7/2  |   8 - 8   |    |       T6892c83 |     L18349c143  |
         304.2372   |              170 | 4.4e+05    | D    |   60270.351   -    93129.879  | 3d5.4s2               | c 4D  | 7/2  | 3d6.(3F1).4p          | 4D*    | 7/2  |   8 - 8   |    |       T6892c83 |     L18349c142  |
         304.2901   |            110d? |            |      |   72352.046   -   105205.808  | 3d6.(3D).4p           | w 4F* | 7/2  | 3d6.(5D).5d           | 6G     | 5/2  |   8 - 6   |    |                |     L18349c143  |
         304.4103   |    90d,bl(Fe I)? | 4.5e+06    | D+   |   72619.499   -   105460.233  | 3d6.(3D).4p           | w 4D* | 5/2  | 3d6.(3F2).4d          | 4D     | 3/2  |   6 - 4   |    |       T6892c83 |     L18349c142  |
         304.4834   |              900 | 1.2e+06    | D+   |   31999.049   -    64831.951  | 3d7                   | b 2F  | 7/2  | 3d6.(3F2).4p          | y 2G*  | 9/2  |   8 - 10  |    |       T6892c83 |     L18349c143  |
         304.5319   |              300 | 5.e+05     | D    |   44915.057   -    77742.736  | 3d6.(1F).4s           | c 2F  | 7/2  | 3d6.(1D2).4p          | v 2F*  | 5/2  |   8 - 6   |    |       T6892c83 |     L18349c142  |
         304.6055   |              210 | 1.3e+07    | D+   |   66248.647   -    99068.465  | 3d6.(3P2).4p          | z 2S* | 1/2  | 3d6.(3P2).5s          | 2P     | 3/2  |   2 - 4   |    |       T6892c83 |     L18349c143  |
         304.6660   |              360 | 9.e+05     | D    |   44929.532   -    77742.736  | 3d6.(1F).4s           | c 2F  | 5/2  | 3d6.(1D2).4p          | v 2F*  | 5/2  |   6 - 6   |    |       T6892c83 |     L18349c142  |
         304.7111   |            160d? | 6.1e+06    | D+   |   66248.647   -    99057.089  | 3d6.(3P2).4p          | z 2S* | 1/2  | 3d6.(3P2).5s          | 4P     | 1/2  |   2 - 2   |    |       T6892c83 |     L18349c143  |
         304.7794   |            100d? | 1.6e+06    | D    |   74606.864   -   107407.818  | 3d6.(3D).4p           | x 2D* | 5/2  | 3d6.(3F2).4d          | 2D     | 5/2  |   6 - 6   |    |       T6892c83 |     L18349c143  |
         304.8001   |    110d,bl(Fe I) |            |      |   72650.698   -   105449.557  | 3d6.(3D).4p           | w 4F* | 9/2  | 3d6.(5D).5d           | 4G     | 7/2  |  10 - 8   |    |                |     L18349c143  |
         304.81788  |              170 |            |      |   72043.060   -   104839.990  | 3d6.(3D).4p           | w 4P* | 3/2  | 3d6.(3F2).4d          | 4P     | 3/2  |   4 - 4   |    |                |     L18349c139  |
