------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |        Ei           Ek        |           Lower level            |            Upper level            |  gi   gk  |Type|         TP  |          Line  |
    Wavelength    |  Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |----------------------------------|-----------------------------------|           |    |        Ref. |          Ref.  |
     Air (nm)     |       |            |      |                               | Conf.             | Term  | J    | Conf.              | Term  | J    |           |    |             |                |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek          | L Conf            |L Term | L J  | U Conf             |U Term | U J  |   gi - gk |Type|       TP    |       Line     |
        339.0209  |    23 | 1.31e+08   | C+   |  203942.288   -   233430.53   | 2s2.2p2.(3P).3p   | 2S*   | 1/2  | 2s2.2p2.(3P).3d    | 2P    | 3/2  |   2 - 4   |    | T6172,T6632 |        L10621  |
        340.7273  |    17 | 1.02e+08   | C    |  229947.07    -   259287.61   | 2s2.2p2.(1D).3p   | 2D*   | 5/2  | 2s2.2p2.(1D).4s    | 2D    | 5/2  |   6 - 6   |    |     T5723LS |        L10621  |
        340.9710  |    16 | 9.77e+07   | C    |  229968.44    -   259288.07   | 2s2.2p2.(1D).3p   | 2D*   | 3/2  | 2s2.2p2.(1D).4s    | 2D    | 3/2  |   4 - 4   |    |     T5723LS |        L10621  |
        341.9841  |     6 |            |      |  252987.23    -   282219.90   | 2s2.2p2.(1S).3p   | 2P*   | 1/2  | 2s2.2p2.(1S).4s    | 2S    | 1/2  |   2 - 2   |    |             |        L10621  |
        342.0571  |     7 |            |      |  252993.39    -   282219.90   | 2s2.2p2.(1S).3p   | 2P*   | 3/2  | 2s2.2p2.(1S).4s    | 2S    | 1/2  |   4 - 2   |    |             |        L10621  |
        342.8509  |     2 |            |      |  232462.724   -   261621.56   | 2s2.2p2.(3P).3d   | 4P    | 5/2  | 2s2.2p2.(3P).5p    | 4S*   | 3/2  |   6 - 4   |    |             |        L10621  |
        343.7144  |     8 |            |      |  232535.949   -   261621.56   | 2s2.2p2.(3P).3d   | 4P    | 3/2  | 2s2.2p2.(3P).5p    | 4S*   | 3/2  |   4 - 4   |    |             |        L10621  |
        344.7861  |  15bl |            |      |  211522.117   -   240517.35   | 2s2.2p2.(3P).3p   | 2D*   | 3/2  | 2s2.2p2.(3P).4s    | 2P    | 3/2  |   4 - 4   |    |             |        L10621  |
        345.3094  |     4 |            |      |  232747.562   -   261698.75   | 2s2.2p2.(3P).3d   | 4D    | 5/2  | 2s2.2p2.(3P).5p    | 2D*   | 3/2  |   6 - 4   |    |             |        L10621  |
        345.4736  |     6 |            |      |  233430.53    -   262368.05   | 2s2.2p2.(3P).3d   | 2P    | 3/2  | 2s2.2p2.(3P).5p    | 2P*   | 3/2  |   4 - 4   |    |             |        L10621  |
        345.5085  |   9bl |            |      |  185235.281   -   214169.920  | 2s2.2p2.(3P).3s   | 4P    | 1/2  | 2s2.2p2.(3P).3p    | 2P*   | 1/2  |   2 - 2   |    |             |        L10621  |
        345.7920  |    10 | 9.69e+06   | D    |  232959.210   -   261869.94   | 2s2.2p2.(3P).3d   | 2F    | 7/2  | 2s2.2p2.(3P).5p    | 2D*   | 5/2  |   8 - 6   |    |     T5723LS |        L10621  |
        345.8936  |     8 | 1.02e+07   | D    |  232796.298   -   261698.75   | 2s2.2p2.(3P).3d   | 2F    | 5/2  | 2s2.2p2.(3P).5p    | 2D*   | 3/2  |   6 - 4   |    |     T5723LS |        L10621  |
        345.9988  |     8 |            |      |  232462.724   -   261356.02   | 2s2.2p2.(3P).3d   | 4P    | 5/2  | 2s2.2p2.(3P).5p    | 4P*   | 5/2  |   6 - 6   |    |             |        L10621  |
        346.8421  |     4 |            |      |  233544.59    -   262368.05   | 2s2.2p2.(3P).3d   | 2P    | 1/2  | 2s2.2p2.(3P).5p    | 2P*   | 3/2  |   2 - 4   |    |             |        L10621  |
        347.0281  |    20 | 1.09e+08   | B    |  211522.117   -   240330.01   | 2s2.2p2.(3P).3p   | 2D*   | 3/2  | 2s2.2p2.(3P).4s    | 2P    | 1/2  |   4 - 2   |    |       T6632 |        L10621  |
        347.0676  |    21 | 8.63e+07   | B    |  211712.732   -   240517.35   | 2s2.2p2.(3P).3p   | 2D*   | 5/2  | 2s2.2p2.(3P).4s    | 2P    | 3/2  |   6 - 4   |    |       T6632 |        L10621  |
        347.1402  |     6 |            |      |  232462.724   -   261261.29   | 2s2.2p2.(3P).3d   | 4P    | 5/2  | 2s2.2p2.(3P).5p    | 4P*   | 3/2  |   6 - 4   |    |             |        L10621  |
